student_id,certificates,minutes_watched
273423,1800,96026.10
801,936,78858.00
159370,1243,71112.98
14700,2275,57996.75
246267,744,44540.00
150949,936,41992.40
195508,372,33885.20
272909,904,32895.47
274050,490,30730.50
147956,559,29756.78
260998,930,28597.50
261777,690,27796.33
266112,505,26558.08
270599,320,26196.17
268390,715,26121.98
161380,846,25920.75
261801,594,25724.78
267916,540,23266.67
143561,710,23093.33
268926,748,22771.65
171900,354,20689.30
147878,609,20566.47
272965,376,18740.40
270075,420,18116.00
183978,666,18093.90
268011,574,17813.37
20710,312,17776.40
157198,399,17043.72
185851,402,16712.50
176090,594,16679.90
268796,288,16600.80
144397,494,16150.77
156407,360,15378.30
256703,408,15315.33
271154,426,15060.10
269518,297,14965.35
254713,272,14684.27
182,399,14132.07
156649,258,14059.70
3239,324,14013.50
212463,396,13737.67
260042,520,13602.53
238848,420,13474.53
159873,540,13472.33
4739,288,13093.93
165285,248,12666.80
264146,364,12663.70
156206,412,12349.07
259504,258,12310.80
268978,244,12008.93
268764,330,11646.60
265928,343,11595.62
267064,348,10724.10
274906,259,10375.05
256448,245,10369.33
275470,210,10103.57
261466,318,9728.20
272717,160,9666.20
156467,360,9343.90
254310,287,9224.95
256670,144,9173.10
233619,360,9141.60
276439,174,9108.60
252339,296,9043.27
1619,168,8944.40
261905,316,8883.00
265092,330,8880.90
170879,574,8840.07
170493,224,8631.73
254431,156,8560.00
261756,174,8548.00
267898,342,8277.80
274039,119,8124.20
259860,165,7975.58
252678,155,7911.17
194507,240,7896.30
263076,276,7892.50
162497,174,7604.30
269541,180,7520.58
274564,140,7451.13
269066,88,7330.33
147672,216,7285.80
197505,160,7194.33
275020,102,7159.60
158724,260,7157.83
264295,165,7128.45
261212,240,7047.17
219488,240,6995.83
265967,185,6857.25
179203,225,6767.75
269314,116,6702.60
266788,165,6440.00
2811,206,6385.90
255827,174,6326.10
260754,200,6280.17
260616,115,6265.42
216394,144,6258.00
154092,176,6255.20
272842,73,6163.18
275442,156,6020.13
274576,120,6015.67
261682,180,6007.07
259767,195,5991.20
268989,152,5920.33
149652,185,5884.33
265588,160,5863.00
217155,145,5785.75
5827,126,5719.40
5836,174,5709.35
266001,180,5249.85
10422,78,5231.90
242454,156,5051.20
276455,116,4995.40
260465,180,4912.80
190803,155,4892.58
841,141,4870.90
266529,144,4719.20
271519,168,4713.65
156647,96,4710.40
275282,95,4709.33
156776,57,4675.05
1754,189,4645.65
271035,126,4598.65
149195,170,4598.43
160960,168,4464.07
15772,252,4440.73
143709,108,4386.65
6278,116,4362.63
253823,108,4358.40
171313,138,4349.10
261785,123,4337.10
275129,75,4248.80
268357,108,4217.95
264476,111,4191.55
260345,102,4161.45
260173,129,4134.20
263690,112,4120.27
271015,88,4088.03
254914,64,4080.40
161210,55,4027.25
271800,116,4022.13
277508,84,3964.20
175038,144,3915.13
196809,125,3826.83
5080,170,3784.63
157277,58,3768.43
147687,85,3761.35
19124,100,3737.70
265250,135,3640.90
3774,74,3596.13
267010,66,3524.00
269934,100,3516.47
274861,84,3514.15
172619,63,3514.05
151694,89,3491.48
261590,76,3456.87
276135,66,3416.80
265003,72,3347.70
176531,120,3281.17
266614,96,3277.33
260980,80,3268.07
204419,124,3256.47
271991,144,3237.15
262112,102,3148.73
264916,52,3117.73
268990,126,3103.17
171738,44,3089.07
2003,90,3086.35
153765,81,3064.90
150090,100,2998.53
39563,135,2996.08
263293,114,2986.50
185848,171,2982.95
6053,54,2958.40
255668,172,2934.53
241632,153,2933.00
41336,126,2926.47
261171,60,2912.33
275038,56,2860.13
159186,64,2843.10
277084,63,2818.45
146149,123,2814.75
269872,96,2804.13
252008,66,2781.55
268556,75,2725.95
1652,96,2710.63
47183,72,2686.45
271348,90,2672.45
2091,71,2655.62
270957,42,2641.90
172793,51,2628.50
277557,56,2616.03
272001,48,2597.23
