student_id,minutes_watched
6,67.08
31,174.20
182,2018.87
235,312.22
616,116.02
618,238.15
699,222.35
702,1.60
838,348.28
841,324.75
862,166.73
908,0.92
911,39.35
917,5.67
969,584.60
988,144.78
999,384.22
1016,20.15
1019,56.50
1036,221.62
1046,1406.38
1064,66.85
1085,82.97
1102,271.30
1151,206.23
1159,30.78
1183,46.82
1188,13.02
1200,329.40
1201,7.67
1210,4.40
1215,3.03
1221,227.30
1235,35.98
1246,528.57
1271,3.05
1285,64.05
1306,735.68
1308,0.35
1317,21.27
1355,18.07
1362,13.52
1382,0.33
1404,29.73
1419,63.52
1426,17.78
1434,23.67
1436,0.23
1468,88.63
1517,70.35
1521,776.92
1522,125.88
1530,4.73
1537,19.82
1538,1.70
1539,0.88
1540,675.60
1543,9.28
1563,5.27
1567,365.37
1581,285.95
1605,25.00
1619,1490.73
1641,1.87
1652,1032.87
1661,5.18
1669,52.38
1678,92.92
1742,264.88
1753,55.77
1754,516.18
1778,397.37
1780,0.65
1794,115.52
1802,0.05
1852,218.23
1863,38.17
1864,301.22
1880,719.03
1883,2.67
1909,238.35
1914,20.50
1923,0.55
1950,17.02
1977,748.12
2003,935.67
2014,114.67
2018,161.70
2019,0.53
2055,20.12
2060,22.50
2070,128.38
2073,467.53
2084,89.40
2091,397.03
2110,4.32
2112,876.17
2114,78.18
2195,29.30
2217,11.57
2218,50.63
2222,2.45
2236,9.12
2248,382.25
2255,244.17
2258,7.85
2274,3.72
2284,2.22
2292,43.68
2295,40.02
2324,8.58
2359,0.15
2377,36.10
2385,10.58
2398,368.53
2409,57.35
2417,13.13
2431,0.85
2495,125.35
2506,14.18
2534,0.70
2546,384.00
2555,665.93
2591,89.68
2620,16.07
2636,112.00
2663,15.28
2702,0.45
2723,75.08
2725,125.75
2731,468.67
2734,202.70
2737,680.57
2764,2.67
2811,575.72
2824,18.72
2851,401.57
2866,6.48
2881,1.20
2887,4.08
2925,15.30
2945,54.92
2954,163.12
2973,3.28
2978,199.37
2984,367.02
2986,520.97
3056,1.78
3062,4.38
3070,542.95
3080,77.47
3115,21.03
3146,0.35
3183,147.55
3188,35.15
3195,354.33
3219,163.95
3239,1957.18
3256,360.45
3292,57.95
3338,209.25
3406,16.73
3420,78.92
3423,627.78
3478,0.60
3481,30.58
3511,7.48
3524,58.78
3541,28.05
3577,329.90
3598,133.90
3631,6.78
3643,559.30
3652,20.87
3751,860.05
3780,141.03
3799,177.07
3817,1140.03
3852,5.00
3856,248.58
3916,61.57
3943,163.82
3982,0.05
3984,30.33
3987,0.90
4011,54.98
4019,57.50
4035,26.28
4055,221.25
4059,163.53
4078,0.90
4080,813.48
4162,16.17
4176,37.17
4186,41.82
4194,30.23
4266,121.10
4303,12.28
4320,33.72
4336,723.45
4337,10.47
4371,63.57
4376,41.03
4384,0.08
4392,113.73
4404,185.35
4435,1.37
4537,305.28
4558,163.42
4577,0.12
4595,809.45
4629,234.48
4640,292.98
4698,18.33
4723,596.73
4739,2504.52
4778,36.95
4784,296.60
4795,12.82
4829,137.68
4872,242.52
4874,2412.55
4884,33.27
4908,92.43
5010,617.93
5018,31.50
5064,419.67
5076,5.58
5080,551.50
5109,3.72
5111,34.85
5143,43.40
5212,195.27
5321,1966.65
5323,167.88
5340,224.70
5389,46.50
5427,12.93
5515,6.98
5579,2.08
5583,947.92
5603,4.30
5774,249.22
5827,953.23
5836,643.53
5884,99.28
6011,13.85
6053,986.13
6070,5.78
6096,21.10
6159,253.15
6164,184.83
6165,45.20
6278,1206.45
6408,267.65
6448,181.20
6479,365.20
6505,44.03
6559,461.32
6560,0.47
6589,176.02
6618,123.22
6787,315.15
6805,45.27
6819,28.13
6862,224.52
6885,509.80
6890,62.30
6899,13.85
6930,42.92
6950,879.05
6971,44.85
7008,1.38
7013,5.88
7037,2.20
7069,17.90
7086,250.00
7163,537.53
7178,20.25
7179,4.77
7224,78.63
7244,19.22
7294,21.20
7358,9.30
7382,49.62
7412,61.20
7421,41.88
7439,2131.42
7474,2.72
7475,96.22
7495,57.15
7524,36.52
7540,325.05
7548,43.18
7612,7.42
7620,41.42
7649,7.12
7790,1.38
7873,187.07
7955,134.48
7975,506.97
8018,432.53
8030,26.03
8059,114.10
8095,79.65
8133,164.42
8156,8.92
8223,12.22
8412,44.73
8425,7.87
8431,311.38
8452,64.55
8495,312.52
8544,352.65
8594,1450.45
8600,18.47
8641,85.40
8754,249.37
8840,417.13
8954,7.38
9098,4.62
9107,496.02
9108,2.17
9178,268.60
9188,11.93
9305,174.73
9372,301.92
9409,791.60
9754,684.80
9808,147.12
10051,263.03
10131,76.15
10299,209.98
10422,871.98
10685,74.87
10690,83.77
10938,7.27
11124,50.77
11215,41.48
11250,44.03
11325,10.42
11345,40.97
11353,1095.90
11402,0.12
11680,24.15
11709,225.15
11711,19.85
11717,17.67
11793,10.48
11800,32.62
11808,36.42
11996,0.10
12279,200.92
12284,423.00
12330,71.55
12530,4.55
12532,481.90
12704,12.58
12807,45.60
12816,31.72
12915,17.62
13114,18.50
13180,107.43
13296,133.23
13538,140.22
13620,143.87
13707,91.33
14217,0.77
14382,51.20
14383,52.18
14463,11.55
14633,2.87
14649,51.07
14700,1325.42
14765,1.37
14905,67.33
14967,0.42
15334,19.90
15345,0.05
15478,62.07
15743,87.13
15772,1110.18
15805,161.80
16052,58.65
16054,16.62
16414,55.33
16601,1120.42
16668,535.67
16796,46.35
16832,10.72
16833,405.27
16915,0.12
16979,535.68
17317,1.00
17342,441.97
17378,212.92
17419,702.63
17613,223.83
17859,16.10
17987,4.67
18314,2.10
19124,1366.42
20710,2222.05
21229,138.12
21449,168.62
21464,77.33
22083,149.83
22980,62.22
23403,2.07
23727,245.12
23781,41.37
24006,27.63
24423,236.05
24664,32.35
24701,66.85
24924,53.62
24965,0.32
25047,295.43
25507,60.12
25521,5.82
26661,633.53
27104,187.67
29758,692.83
29960,120.03
30206,483.10
30273,133.65
30872,1001.97
32560,5.20
32973,1.18
33495,32.97
34121,450.67
34172,91.55
34533,31.77
35284,237.83
37017,2.60
37860,752.55
37901,15.40
38359,1471.65
38457,1.98
39563,599.22
40307,36.92
40867,119.70
41336,992.15
42751,55.48
43142,129.47
43191,187.35
43604,4.97
43915,172.17
44965,319.33
47183,895.48
51495,45.68
51872,83.55
55811,84.32
57431,841.33
59138,416.63
59323,784.07
59568,176.57
62735,32.80
63369,58.07
64522,53.65
71716,100.57
74005,183.30
74498,163.85
75080,6.62
77591,48.18
78822,2.67
82986,141.93
88122,43.22
89036,60.30
92449,13.38
93270,106.40
96731,1.52
97530,110.52
97931,1772.92
101982,4.20
103625,13.25
103808,56.15
106235,57.68
107588,168.63
115019,638.15
115084,1.13
117782,0.10
118426,0.28
136313,1.20
137389,804.05
137920,83.45
138534,52.62
138559,22.28
140223,17.27
141316,22.45
142814,162.32
142856,211.10
142965,12.48
143026,40.60
143148,40.77
143214,64.77
143216,144.10
143392,27.02
143407,38.52
143454,9.42
143561,1767.37
143599,37.27
143637,108.85
143701,647.45
143709,1462.22
143785,43.40
143799,4.87
144023,786.57
144151,614.50
144164,410.90
144179,4681.83
144239,96.67
144273,10.12
144348,473.50
144378,62.87
144390,0.92
144397,1205.13
144426,5.23
144467,5.82
144498,127.08
144561,36.65
144599,4.57
144627,75.65
144682,226.15
144788,1082.07
144869,178.45
144900,75.07
144912,64.50
145013,425.27
145177,918.17
145310,36.43
145313,66.72
145484,138.58
145488,0.05
145561,176.33
145569,3.48
145681,1005.23
145713,481.38
145783,11.93
145793,154.97
145813,85.40
145873,64.13
145905,49.47
145944,36.70
146030,151.27
146149,566.57
146255,76.58
146401,75.48
146427,50.70
146551,33.60
146625,9.10
146801,0.40
146855,366.48
146888,13.13
146948,4.77
146957,83.03
146977,27.87
146990,11.82
147005,262.35
147044,4.20
147048,26.30
147061,77.25
147076,77.57
147130,132.53
147132,357.92
147142,35.97
147143,125.08
147146,123.22
147200,42.07
147231,110.00
147291,4.45
147444,12.82
147446,52.45
147448,111.52
147473,29.33
147542,124.83
147618,183.37
147638,210.92
147672,1214.30
147687,1054.13
147802,38.00
147878,2938.07
147884,13.80
147906,15.45
147956,2288.98
147992,2.95
147993,544.67
148060,42.67
148109,7.48
148133,0.95
148222,113.95
148257,14.48
148346,210.45
148372,69.65
148467,142.62
148577,22.67
148628,241.28
148643,97.82
148670,15.70
148755,210.10
148817,4.17
148825,1100.72
148849,30.82
148886,185.38
148901,29.45
148927,110.08
148939,661.32
148996,21.67
149023,14.92
149038,6.37
149042,438.50
149131,12.13
149195,1474.87
149241,590.93
149323,172.72
149361,2.00
149366,7.33
149547,35.58
149554,1.18
149576,4494.42
149584,2.62
149591,7.62
149601,111.47
149652,644.67
149787,163.82
149790,102.10
149812,0.23
149849,133.58
149883,223.52
149892,1.83
149960,47.88
150090,589.05
150265,556.22
150663,221.28
150745,440.17
150823,34.85
150906,160.47
150949,2063.10
151021,64.47
151313,70.47
151366,19.67
151404,50.82
151418,35.77
151663,31.57
151694,863.07
151759,7.82
151849,540.55
151861,4.50
151892,96.37
152109,391.38
152138,147.23
152140,30.75
152174,23.07
152188,43.85
152223,118.23
152241,141.48
152267,0.07
152285,12.83
152472,2.15
152611,122.13
152692,162.10
152825,0.32
152896,579.02
152970,229.12
153036,55.62
153103,472.25
153235,423.15
153351,170.30
153726,34.22
153741,211.22
153745,86.70
153765,1021.63
153895,0.05
153897,20.00
153930,2.33
153938,95.53
153953,226.50
154092,600.83
154143,17.47
154291,359.98
154358,224.73
154378,70.55
154458,1.90
154509,13.25
154556,31.78
154674,578.83
155280,80.75
155427,134.33
155444,407.00
155628,434.95
155640,798.45
155741,41.63
155805,149.38
155900,33.93
155924,124.00
156042,0.45
156057,124.60
156099,5.68
156132,20.87
156159,28.92
156182,704.52
156183,812.93
156184,13.62
156206,1738.28
156240,1465.18
156241,23.97
156276,382.35
156293,169.80
156296,154.00
156342,77.50
156343,51.87
156344,170.43
156356,32.40
156388,32.50
156391,36.60
156399,8.62
156407,1176.38
156409,667.98
156428,117.92
156429,76.18
156439,55.30
156467,1546.02
156484,116.87
156498,466.72
156501,21.53
156510,83.95
156521,293.75
156534,423.92
156541,121.17
156542,45.53
156549,0.37
156561,570.17
156587,217.08
156608,17.70
156610,404.78
156615,27.75
156645,21.43
156647,1033.02
156649,2274.25
156661,36.82
156680,19.13
156693,335.37
156694,5.80
156696,12.78
156702,10.33
156703,11.98
156728,93.42
156760,0.20
156767,150.07
156770,218.88
156774,0.30
156776,1558.35
156780,93.53
156787,59.13
156831,271.57
156841,0.13
156845,504.97
156887,99.78
156894,22.90
156941,21.28
156996,20.62
157171,43.83
157198,2201.85
157218,7.10
157277,696.32
157285,165.25
157360,283.82
157476,147.85
157594,248.87
157698,275.88
157853,4.57
157882,54.83
157934,24.07
157976,425.97
157992,916.27
158034,363.25
158038,50.77
158049,416.72
158104,0.22
158108,393.63
158129,56.62
158179,442.57
158205,33.58
158250,40.77
158336,378.77
158529,329.30
158646,10.68
158659,84.87
158724,1431.57
158990,46.68
159022,111.68
159057,34.33
159060,176.52
159071,22.23
159101,47.62
159105,17.08
159172,5.43
159175,248.93
159186,1421.55
159336,501.23
159353,146.17
159370,6464.82
159457,917.82
159548,569.87
159590,46.45
159621,167.67
159873,1347.23
159875,32.68
159904,11.68
159987,240.97
160032,266.97
160051,15.43
160419,3.48
160452,0.50
160462,75.15
160493,3.18
160524,75.80
160528,714.02
160536,22.20
160562,6.67
160595,675.05
160610,316.27
160677,73.80
160705,35.43
160816,132.30
160960,1116.02
161002,28.98
161060,321.70
161070,96.20
161108,19.52
161132,23.17
161173,319.90
161200,11.12
161209,23.92
161210,805.45
161227,83.90
161241,26.92
161271,278.27
161288,366.38
161338,210.12
161380,2880.08
161395,19.43
161397,16.83
161426,239.80
161474,40.27
161475,372.27
161480,3.68
161483,40.50
161485,183.33
161496,688.05
161515,34.45
161524,159.50
161527,24.77
161537,91.05
161539,0.17
161572,274.32
161580,354.30
161626,233.30
161632,3.38
161640,599.43
161650,12.23
161693,358.42
161703,230.53
161716,1043.97
161785,50.88
161844,703.60
161870,175.92
161887,187.98
161899,584.48
161900,422.98
161935,0.07
162077,435.43
162284,252.22
162406,83.98
162497,1267.38
162502,42.00
162669,14.40
163108,70.47
163144,20.95
163241,99.78
163248,38.97
163452,19.73
163473,348.30
163676,4243.93
163786,3.00
163883,10.77
163884,26.60
163914,65.27
163918,13.82
164222,369.95
164280,8.70
164310,162.02
164348,23.68
164356,0.13
164430,61.60
164442,565.97
164455,5.32
164496,0.05
164701,32.90
164796,20.67
164904,15.62
164997,5.15
165014,27.83
165026,434.53
165187,45.22
165285,1583.35
165364,2.83
165374,246.98
165433,195.90
165480,341.85
165557,34.58
165950,8.65
165954,91.02
166070,843.50
166121,0.08
166145,533.25
166217,13.72
166380,709.93
166461,18.47
166509,50.80
166626,17.32
166652,38.83
166734,370.38
